date,description,is_bank_holiday,is_semester_break,is_bridge_day
2027-05-07,Bridge Day (after Ascension),FALSE,FALSE,TRUE
2027-05-17,Whit Monday,TRUE,FALSE,FALSE
2027-05-27,Corpus Christi,TRUE,FALSE,FALSE
2027-05-28,Bridge Day (after Corpus Christi),FALSE,FALSE,TRUE
2027-06-28,Summer Break Start,FALSE,TRUE,FALSE
2027-06-29,Summer Break,FALSE,TRUE,FALSE
2027-06-30,Summer Break,FALSE,TRUE,FALSE
2027-07-01,Summer Break,FALSE,TRUE,FALSE
2027-07-02,Summer Break,FALSE,TRUE,FALSE
2027-07-03,Summer Break,FALSE,TRUE,FALSE
2027-07-04,Summer Break,FALSE,TRUE,FALSE
2027-07-05,Summer Break,FALSE,TRUE,FALSE
2027-07-06,Summer Break,FALSE,TRUE,FALSE
2027-07-07,Summer Break,FALSE,TRUE,FALSE
2027-07-08,Summer Break,FALSE,TRUE,FALSE
2027-07-09,Summer Break,FALSE,TRUE,FALSE
2027-07-10,Summer Break,FALSE,TRUE,FALSE
2027-07-11,Summer Break,FALSE,TRUE,FALSE
2027-07-12,Summer Break,FALSE,TRUE,FALSE
2027-07-13,Summer Break,FALSE,TRUE,FALSE
2027-07-14,Summer Break,FALSE,TRUE,FALSE
2027-07-15,Summer Break,FALSE,TRUE,FALSE
2027-07-16,Summer Break,FALSE,TRUE,FALSE
2027-07-17,Summer Break,FALSE,TRUE,FALSE
2027-07-18,Summer Break,FALSE,TRUE,FALSE
2027-07-19,Summer Break,FALSE,TRUE,FALSE
2027-07-20,Summer Break,FALSE,TRUE,FALSE
2027-07-21,Summer Break,FALSE,TRUE,FALSE
2027-07-22,Summer Break,FALSE,TRUE,FALSE
2027-07-23,Summer Break,FALSE,TRUE,FALSE
2027-07-24,Summer Break,FALSE,TRUE,FALSE
2027-07-25,Summer Break,FALSE,TRUE,FALSE
2027-07-26,Summer Break,FALSE,TRUE,FALSE
2027-07-27,Summer Break,FALSE,TRUE,FALSE
2027-07-28,Summer Break,FALSE,TRUE,FALSE
2027-07-29,Summer Break,FALSE,TRUE,FALSE
2027-07-30,Summer Break,FALSE,TRUE,FALSE
2027-07-31,Summer Break,FALSE,TRUE,FALSE
2027-08-01,Summer Break,FALSE,TRUE,FALSE
2027-08-02,Summer Break,FALSE,TRUE,FALSE
2027-08-03,Summer Break,FALSE,TRUE,FALSE
2027-08-04,Summer Break,FALSE,TRUE,FALSE
2027-08-05,Summer Break,FALSE,TRUE,FALSE
2027-08-06,Summer Break End,FALSE,TRUE,FALSE
2027-10-03,German Unity Day,TRUE,FALSE,FALSE
2027-10-04,Autumn Break Start,FALSE,TRUE,FALSE
2027-10-05,Autumn Break,FALSE,TRUE,FALSE
2027-10-06,Autumn Break,FALSE,TRUE,FALSE
2027-10-07,Autumn Break,FALSE,TRUE,FALSE
2027-10-08,Autumn Break,FALSE,TRUE,FALSE
2027-10-09,Autumn Break,FALSE,TRUE,FALSE
2027-10-10,Autumn Break,FALSE,TRUE,FALSE
2027-10-11,Autumn Break,FALSE,TRUE,FALSE
2027-10-12,Autumn Break,FALSE,TRUE,FALSE
2027-10-13,Autumn Break,FALSE,TRUE,FALSE
2027-10-14,Autumn Break,FALSE,TRUE,FALSE
2027-10-15,Autumn Break,FALSE,TRUE,FALSE
2027-10-16,Autumn Break End,FALSE,TRUE,FALSE
2027-12-24,Christmas Day,TRUE,FALSE,FALSE
2027-12-25,Boxing Day,TRUE,FALSE,FALSE
2027-12-26,Boxing Day,TRUE,FALSE,FALSE
